1,1.592835
2,1.588976
3,1.587434
4,1.589883
5,1.586780
6,1.590944
7,1.594816
8,1.590441
9,1.587510
10,1.587368
11,1.590987
12,1.599021
13,1.588618
14,1.590905
15,1.587255
16,1.589555
17,1.593468
18,1.691319
19,1.641608
20,1.610689
21,1.591240
22,1.593990
23,1.599613
24,1.587706
25,1.589525
26,1.588191
27,1.590575
28,1.597367
29,1.594302
30,1.594475
31,1.599995
32,1.590213
33,1.600271
34,1.591415
35,1.589676
36,1.598189
37,1.596584
38,1.613648
39,1.588723
40,1.590899
41,1.593619
42,1.590567
43,1.609448
44,1.589637
45,1.592342
46,1.586492
47,1.590468
48,1.592627
49,1.588777
50,1.611379
51,1.588287
52,1.588447
53,1.586713
54,1.590942
55,1.588269
56,1.591268
57,1.592394
58,1.590024
59,1.595023
60,1.591759
61,1.591511
62,1.592134
63,1.592782
64,1.592473
65,1.590742
66,1.590021
67,1.587222
68,1.593989
69,1.594443
70,1.597836
71,1.591357
72,1.591704
73,1.595534
74,1.587487
75,1.590990
76,1.605699
77,1.586493
78,1.592367
79,1.588476
80,1.586579
81,1.586278
82,1.586927
83,1.587176
84,1.821098
85,1.695806
86,1.597190
87,1.588576
88,1.588046
89,1.589499
90,1.585859
91,1.585891
92,1.596705
93,1.584845
94,1.589058
95,1.587042
96,1.586660
97,1.585727
98,1.588437
99,1.597229
100,1.720246
101,1.673593
102,1.625050
103,1.588496
104,1.591151
105,1.597202
106,1.588609
107,1.590572
108,1.587155
109,1.587021
110,1.606408
111,1.601222
112,1.588612
113,1.584896
114,1.590677
115,1.589275
116,1.597116
117,1.589427
118,1.594794
119,1.602919
120,1.589732
121,1.592107
122,1.594220
123,1.588965
124,1.585024
125,1.602492
126,1.593882
127,1.594616
128,1.591459
129,1.591250
130,1.589835
131,1.585692
132,1.592376
133,1.590464
134,1.592721
135,1.587413
136,1.587110
137,1.590003
138,1.592353
139,1.596954
140,1.588877
141,1.585726
142,1.595267
143,1.595073
144,1.585677
145,1.589397
146,1.593850
147,1.592295
148,1.590089
149,1.588309
150,1.587700
151,1.595131
152,1.589410
153,1.593191
154,1.593755
155,1.588182
156,1.589387
157,1.590004
158,1.589630
159,1.593020
