1,0.000185
2,0.000093
3,0.000097
4,0.000234
5,0.000171
6,0.000174
7,0.000187
8,0.000168
9,0.000170
10,0.000176
11,0.000185
12,0.000142
13,0.000080
14,0.000130
15,0.000185
16,0.000077
17,0.000181
18,0.000295
19,0.000196
20,0.000181
21,0.000165
22,0.000249
23,0.000120
24,0.000227
25,0.000168
26,0.000186
27,0.000073
28,0.000220
29,0.000232
30,0.000137
31,0.000086
32,0.000181
33,0.000111
34,0.000159
35,0.000191
36,0.000212
37,0.000250
38,0.000317
39,0.000137
40,0.000296
41,0.000217
42,0.000103
43,0.000208
44,0.000122
45,0.000217
46,0.000085
47,0.000297
48,0.000161
49,0.000195
50,0.000106
51,0.000237
52,0.000286
53,0.000097
54,0.000248
55,0.000167
56,0.000172
57,0.000247
58,0.000294
59,0.000095
60,0.000208
