1,1.672320
2,1.750530
3,1.700563
4,1.778794
5,1.728876
6,1.690948
7,1.801474
8,1.751619
9,1.703212
10,1.785979
11,1.734205
12,1.684698
13,1.709227
14,1.689986
15,1.734960
16,1.700109
17,1.673024
18,1.629425
19,1.719015
20,1.671767
21,1.733497
22,1.697117
23,1.647657
24,1.728402
25,1.679184
26,1.684615
27,1.664020
28,1.731587
29,1.682236
30,1.711483
31,1.754834
32,1.703889
33,1.721718
34,1.736947
35,1.690016
36,1.748607
37,1.701359
38,1.742384
39,1.753008
40,1.705503
41,1.684197
42,1.744834
43,1.697099
44,1.706973
45,1.685148
46,1.738554
47,1.690137
48,1.657684
49,1.670711
50,1.687408
51,1.724190
52,1.735954
53,1.687027
54,1.762938
55,1.712334
56,1.729975
57,1.749264
58,1.702152
59,1.779432
60,1.731030
61,1.687081
62,1.692047
63,1.688958
64,1.641626
65,1.684871
66,1.712082
67,1.663427
68,1.670215
69,1.629040
70,1.711314
71,1.661941
72,1.719947
73,1.671329
74,1.724773
75,1.675490
76,1.682711
77,1.764620
78,1.717295
79,1.787422
80,1.742617
81,1.691925
82,1.739428
83,1.689327
84,1.729907
85,1.683168
86,1.734154
87,1.697887
88,1.734190
89,1.693291
90,1.696050
91,1.669158
92,1.711875
93,1.681205
94,1.669593
95,1.729315
96,1.680654
97,1.736217
98,1.687107
99,1.636062
100,1.705478
101,1.653954
102,1.726499
103,1.708419
104,1.706447
105,1.753102
106,1.701918
107,1.733341
108,1.722180
109,1.669137
110,1.722451
111,1.670007
112,1.741908
113,1.691435
114,1.722877
115,1.706409
116,1.656237
117,1.712843
118,1.661632
119,1.709682
120,1.665221
121,1.660951
122,1.728993
123,1.681093
124,1.716675
125,1.698595
126,1.647113
127,1.726183
128,1.775893
129,1.740618
130,1.692631
131,1.738535
132,1.744118
133,1.692201
134,1.738009
135,1.721726
136,1.727380
137,1.675863
138,1.634005
139,1.734200
140,1.707867
141,1.743982
142,1.768147
143,1.718281
144,1.703411
145,1.748834
146,1.697012
147,1.704603
148,1.655717
149,1.690423
150,1.731288
151,1.761058
152,1.714223
153,1.683166
154,1.716958
155,1.702900
156,1.688096
157,1.731553
158,1.754235
159,1.705123
160,1.745251
161,1.694747
162,1.716066
163,1.667563
164,1.729990
165,1.678972
166,1.774352
167,1.723381
168,1.786248
169,1.738114
170,1.722547
171,1.655809
172,1.664833
173,1.647989
174,1.700013
175,1.743004
176,16133657749223.046875
177,1.746031
178,1.797287
179,1.747344
180,1.741540
181,1.793548
182,1.741242
183,1.691153
184,1.792152
185,1.746383
186,1.695793
187,1.805076
188,1.753581
189,1.705200
